frame_number,delta_time,packet_length,packet_direction,header_form,is_initial,is_0rtt,is_handshake,is_1rtt,is_retry,is_vn,has_ack,has_padding,has_connection_close,has_path_challenge,has_path_response,has_new_connection_id,has_retire_cid,http3_stream_count,http3_fin_count
1,0.0,1248,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,0.00025,95,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
3,0.000347,1248,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.000193,137,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,0.000306,1248,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.001448,1248,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
7,5.8e-05,517,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,0.004237,1398,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
9,0.000897,556,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,0.000109,92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,4.1e-05,92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,3.8e-05,117,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,0.000294,91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,0.000251,1398,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,0.000365,1441,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,0.000302,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,0.000171,91,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,0.000499,110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,7.5e-05,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,1.5e-05,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,1.3e-05,163,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,1.6e-05,117,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,0.000454,211,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,0.0003,97,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
