frame_number,delta_time,packet_length,packet_direction,header_form,is_initial,is_0rtt,is_handshake,is_1rtt,is_retry,is_vn,has_ack,has_padding,has_connection_close,has_path_challenge,has_path_response,has_new_connection_id,has_retire_cid,http3_stream_count,http3_fin_count
1,0.0,1248,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,0.000213,95,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
3,0.00087,1248,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,9.8e-05,137,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,0.000334,1248,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.001471,1248,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
7,6.6e-05,517,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,0.003526,1398,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
9,0.000483,556,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,5.8e-05,92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,2.2e-05,92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,2.1e-05,117,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,0.00047,91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,0.000162,1398,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,0.000474,1441,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,0.000272,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,0.000274,91,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,0.000304,110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,4.4e-05,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,1.6e-05,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,1.3e-05,163,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,1.7e-05,117,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,0.001582,211,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,0.000343,97,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
